<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;15;09/14/20;1745;115.0200000;115.0200000;114.1500000;114.2100000;274419
US1.AAPL;15;09/14/20;1800;114.2200000;114.5200000;113.8600000;114.4900000;207730
US1.AAPL;15;09/14/20;1815;114.4800000;114.5500000;113.6800000;113.8700000;143657
US1.AAPL;15;09/14/20;1830;113.8400000;114.1500000;113.8200000;114.1500000;135772
US1.AAPL;15;09/14/20;1845;114.1500000;114.4800000;114.0650000;114.3800000;93210
US1.AAPL;15;09/14/20;1900;114.3800000;114.7500000;114.0800000;114.5000000;112025
US1.AAPL;15;09/14/20;1915;114.5000000;114.8000000;114.2400000;114.2400000;119825
US1.AAPL;15;09/14/20;1930;114.2400000;114.4300000;114.0300000;114.1100000;107917
US1.AAPL;15;09/14/20;1945;114.1200000;114.6000000;114.0000000;114.4800000;96291
US1.AAPL;15;09/14/20;2000;114.4800000;114.5600000;114.0900000;114.3400000;107430
US1.AAPL;15;09/14/20;2015;114.3500000;114.4700000;113.8600000;113.9300000;136745
US1.AAPL;15;09/14/20;2030;113.9200000;113.9200000;113.2000000;113.6300000;197238
US1.AAPL;15;09/14/20;2045;113.6100000;113.7200000;112.8100000;113.3900000;158005
US1.AAPL;15;09/14/20;2100;113.3700000;113.8700000;113.2800000;113.7300000;82667
US1.AAPL;15;09/14/20;2115;113.7200000;114.4300000;113.4400000;114.4100000;127428
US1.AAPL;15;09/14/20;2130;114.4000000;114.4900000;113.8600000;113.9700000;207329
US1.AAPL;15;09/14/20;2145;113.9800000;114.3400000;113.9400000;114.2300000;123099
US1.AAPL;15;09/14/20;2200;114.2500000;114.6100000;114.0100000;114.4500000;159716
US1.AAPL;15;09/14/20;2215;114.4500000;114.5300000;114.2100000;114.4800000;158753
US1.AAPL;15;09/14/20;2230;114.5000000;114.8500000;114.2400000;114.5500000;231973
US1.AAPL;15;09/14/20;2245;114.5700000;115.6900000;114.5400000;115.6800000;291780
US1.AAPL;15;09/14/20;2300;115.6600000;115.9100000;115.1800000;115.3500000;657329
US1.AAPL;15;09/15/20;1645;118.4200000;118.7900000;117.2500000;117.4400000;521704
US1.AAPL;15;09/15/20;1700;117.4700000;118.2900000;117.2700000;118.0600000;464692
US1.AAPL;15;09/15/20;1715;118.0400000;118.0800000;117.1500000;117.2200000;262707
US1.AAPL;15;09/15/20;1730;117.2200000;117.3100000;116.0800000;116.7100000;235840
US1.AAPL;15;09/15/20;1745;116.7300000;116.8000000;115.6500000;115.7100000;276774
US1.AAPL;15;09/15/20;1800;115.7300000;116.5700000;115.7300000;116.4900000;209446
US1.AAPL;15;09/15/20;1815;116.4900000;117.5200000;116.2700000;117.3700000;254133
US1.AAPL;15;09/15/20;1830;117.3500000;117.4500000;116.9400000;117.1400000;154933
US1.AAPL;15;09/15/20;1845;117.1600000;117.5600000;117.1300000;117.2300000;150331
US1.AAPL;15;09/15/20;1900;117.2300000;117.4500000;116.9500000;117.3800000;145010
US1.AAPL;15;09/15/20;1915;117.4000000;117.8100000;117.3500000;117.6200000;162992
US1.AAPL;15;09/15/20;1930;117.6500000;117.7400000;117.1350000;117.4700000;177479
US1.AAPL;15;09/15/20;1945;117.4400000;117.7500000;117.2300000;117.7300000;110562
US1.AAPL;15;09/15/20;2000;117.7200000;118.1100000;117.5200000;117.8800000;173561
US1.AAPL;15;09/15/20;2015;117.8600000;118.2000000;116.7700000;117.2300000;337880
US1.AAPL;15;09/15/20;2030;117.2800000;117.5000000;116.5000000;116.8300000;183100
US1.AAPL;15;09/15/20;2045;116.8400000;117.4300000;116.5300000;117.3100000;207440
US1.AAPL;15;09/15/20;2100;117.3200000;117.3400000;116.7700000;116.7900000;171531
US1.AAPL;15;09/15/20;2115;116.7900000;116.9200000;115.1000000;116.0300000;393236
US1.AAPL;15;09/15/20;2130;116.0500000;116.1600000;115.1600000;115.3800000;235763
US1.AAPL;15;09/15/20;2145;115.4000000;115.7500000;115.0000000;115.5500000;265662
US1.AAPL;15;09/15/20;2200;115.5500000;115.7400000;115.2100000;115.3350000;156519
US1.AAPL;15;09/15/20;2215;115.3550000;115.3550000;113.6100000;113.8100000;457784
US1.AAPL;15;09/15/20;2230;113.8100000;114.8300000;113.7500000;114.7500000;254090
US1.AAPL;15;09/15/20;2245;114.7500000;114.8400000;114.1200000;114.3300000;220787
US1.AAPL;15;09/15/20;2300;114.3400000;115.7900000;114.1600000;115.5400000;548068
US1.AAPL;15;09/15/20;2315;115.5500000;115.5500000;115.5500000;115.5500000;500
US1.AAPL;15;09/16/20;1645;115.2300000;116.0000000;114.5500000;114.5900000;388037
US1.AAPL;15;09/16/20;1700;114.6000000;114.9200000;114.1800000;114.8500000;185583
US1.AAPL;15;09/16/20;1715;114.8800000;115.0400000;114.4900000;114.6000000;176598
US1.AAPL;15;09/16/20;1730;114.6500000;114.7300000;114.0500000;114.4000000;197598
US1.AAPL;15;09/16/20;1745;114.3500000;114.5700000;113.6500000;113.7200000;275883
US1.AAPL;15;09/16/20;1800;113.7200000;114.1300000;113.3600000;113.8900000;233080
US1.AAPL;15;09/16/20;1815;113.8600000;114.2700000;113.7200000;114.1900000;131237
US1.AAPL;15;09/16/20;1830;114.1900000;114.3800000;113.9800000;114.0900000;125366
US1.AAPL;15;09/16/20;1845;114.1100000;114.3150000;113.9600000;114.1000000;120750
US1.AAPL;15;09/16/20;1900;114.1000000;114.1900000;113.6100000;113.6700000;137932
US1.AAPL;15;09/16/20;1915;113.6850000;113.8500000;113.4200000;113.5500000;150401
US1.AAPL;15;09/16/20;1930;113.5800000;113.6900000;113.3700000;113.6800000;124374
